victim_id,worthless_death_count,total_deaths,worthless_death_ratio
190.0,128,220,0.5818181818181818
191.0,321,530,0.6056603773584905
192.0,245,388,0.6314432989690721
193.0,898,1826,0.49178532311062434
194.0,562,1015,0.5536945812807882
195.0,680,1304,0.5214723926380368
196.0,488,869,0.5615650172612198
197.0,422,751,0.5619174434087882
198.0,76,121,0.628099173553719
199.0,277,494,0.5607287449392713
200.0,17,26,0.6538461538461539
201.0,442,695,0.6359712230215827
202.0,45,78,0.5769230769230769
203.0,87,141,0.6170212765957447
204.0,4,11,0.36363636363636365
205.0,384,654,0.5871559633027523
206.0,156,275,0.5672727272727273
207.0,185,272,0.6801470588235294
208.0,282,462,0.6103896103896104
209.0,199,349,0.5702005730659025
210.0,7,11,0.6363636363636364
211.0,460,853,0.5392731535756154
212.0,148,244,0.6065573770491803
213.0,180,315,0.5714285714285714
214.0,205,448,0.4575892857142857
215.0,663,1175,0.5642553191489361
216.0,156,276,0.5652173913043478
217.0,53,102,0.5196078431372549
218.0,222,358,0.6201117318435754
219.0,343,593,0.5784148397976391
220.0,651,1230,0.5292682926829269
221.0,519,884,0.5871040723981901
222.0,756,1404,0.5384615384615384
223.0,466,729,0.6392318244170097
224.0,317,514,0.6167315175097277
225.0,678,1345,0.504089219330855
226.0,108,168,0.6428571428571429
227.0,573,1127,0.5084294587400178
228.0,852,1474,0.5780189959294437
229.0,705,1368,0.5153508771929824
230.0,252,437,0.5766590389016019
231.0,122,212,0.5754716981132075
232.0,708,1187,0.5964616680707666
233.0,648,1115,0.5811659192825112
234.0,142,254,0.5590551181102362
235.0,76,153,0.49673202614379086
236.0,707,1249,0.566052842273819
237.0,147,234,0.6282051282051282
238.0,389,642,0.6059190031152648
239.0,601,1030,0.583495145631068
240.0,427,720,0.5930555555555556
241.0,168,259,0.6486486486486487
242.0,92,133,0.6917293233082706
243.0,470,910,0.5164835164835165
244.0,89,178,0.5
245.0,790,1532,0.5156657963446475
246.0,788,1450,0.543448275862069
247.0,658,1156,0.5692041522491349
248.0,270,502,0.5378486055776892
249.0,386,684,0.564327485380117
250.0,442,779,0.5673940949935815
251.0,531,859,0.6181606519208381
252.0,294,518,0.5675675675675675
253.0,234,395,0.5924050632911393
254.0,290,511,0.5675146771037182
255.0,625,1178,0.530560271646859
256.0,267,538,0.4962825278810409
257.0,622,1250,0.4976
258.0,154,312,0.4935897435897436
259.0,759,1492,0.5087131367292225
260.0,616,1057,0.5827814569536424
261.0,649,1211,0.5359207266721717
262.0,102,153,0.6666666666666666
263.0,626,1051,0.5956232159847764
264.0,716,1365,0.5245421245421246
265.0,568,924,0.6147186147186147
266.0,500,905,0.5524861878453039
267.0,499,927,0.5382955771305286
268.0,493,872,0.5653669724770642
269.0,13,21,0.6190476190476191
270.0,313,539,0.5807050092764379
271.0,248,440,0.5636363636363636
272.0,476,807,0.5898389095415117
273.0,519,885,0.5864406779661017
274.0,221,428,0.5163551401869159
275.0,561,975,0.5753846153846154
276.0,71,118,0.6016949152542372
277.0,332,526,0.6311787072243346
278.0,60,84,0.7142857142857143
279.0,5,12,0.4166666666666667
280.0,195,309,0.6310679611650486
281.0,126,205,0.6146341463414634
282.0,580,986,0.5882352941176471
283.0,471,810,0.5814814814814815
284.0,527,851,0.6192714453584018
285.0,579,1028,0.5632295719844358
286.0,11,18,0.6111111111111112
287.0,408,675,0.6044444444444445
288.0,215,356,0.6039325842696629
289.0,4,9,0.4444444444444444
290.0,480,796,0.6030150753768844
291.0,8,13,0.6153846153846154
292.0,120,212,0.5660377358490566
293.0,158,247,0.6396761133603239
294.0,131,204,0.6421568627450981
295.0,123,214,0.5747663551401869
296.0,48,78,0.6153846153846154
297.0,106,187,0.5668449197860963
298.0,76,143,0.5314685314685315
299.0,463,730,0.6342465753424658
300.0,621,1039,0.5976900866217517
301.0,118,202,0.5841584158415841
302.0,666,1101,0.6049046321525886
303.0,317,516,0.6143410852713178
304.0,204,300,0.68
305.0,845,1367,0.6181419166057059
306.0,439,693,0.6334776334776335
307.0,446,772,0.5777202072538861
308.0,274,500,0.548
309.0,752,1400,0.5371428571428571
310.0,755,1364,0.5535190615835777
311.0,320,604,0.5298013245033113
312.0,529,1046,0.505736137667304
313.0,322,580,0.5551724137931034
314.0,164,265,0.6188679245283019
315.0,777,1358,0.5721649484536082
316.0,141,243,0.5802469135802469
317.0,802,1612,0.4975186104218362
318.0,77,135,0.5703703703703704
319.0,4,4,1.0
320.0,269,436,0.6169724770642202
321.0,254,424,0.5990566037735849
322.0,164,348,0.47126436781609193
323.0,35,44,0.7954545454545454
324.0,253,445,0.5685393258426966
325.0,145,235,0.6170212765957447
326.0,32,48,0.6666666666666666
327.0,629,1069,0.5884003741814781
328.0,14,21,0.6666666666666666
329.0,135,209,0.645933014354067
330.0,805,1530,0.5261437908496732
331.0,36,63,0.5714285714285714
332.0,165,239,0.6903765690376569
333.0,205,378,0.5423280423280423
334.0,17,25,0.68
335.0,189,356,0.5308988764044944
336.0,83,165,0.503030303030303
337.0,89,150,0.5933333333333334
338.0,692,1224,0.565359477124183
339.0,558,939,0.5942492012779552
340.0,612,1133,0.5401588702559577
341.0,783,1426,0.5490883590462833
342.0,300,559,0.5366726296958855
343.0,243,411,0.5912408759124088
344.0,156,235,0.6638297872340425
345.0,161,269,0.5985130111524164
346.0,169,305,0.5540983606557377
347.0,439,686,0.6399416909620991
348.0,192,329,0.5835866261398176
349.0,120,192,0.625
350.0,180,286,0.6293706293706294
351.0,815,1290,0.6317829457364341
352.0,602,1044,0.5766283524904214
353.0,305,496,0.6149193548387096
354.0,269,450,0.5977777777777777
355.0,612,1034,0.5918762088974855
356.0,593,1042,0.5690978886756238
357.0,575,1064,0.5404135338345865
358.0,268,407,0.6584766584766585
359.0,70,105,0.6666666666666666
360.0,133,202,0.6584158415841584
361.0,341,555,0.6144144144144145
362.0,145,309,0.4692556634304207
363.0,64,92,0.6956521739130435
364.0,371,623,0.5955056179775281
365.0,31,56,0.5535714285714286
366.0,213,340,0.6264705882352941
367.0,66,108,0.6111111111111112
368.0,243,407,0.597051597051597
369.0,168,245,0.6857142857142857
370.0,310,595,0.5210084033613446
371.0,113,182,0.6208791208791209
372.0,272,460,0.591304347826087
373.0,301,489,0.6155419222903885
374.0,173,261,0.6628352490421456
375.0,103,176,0.5852272727272727
376.0,744,1241,0.5995165189363416
377.0,59,78,0.7564102564102564
378.0,26,46,0.5652173913043478
379.0,444,769,0.577373211963589
380.0,250,441,0.5668934240362812
381.0,212,323,0.6563467492260062
382.0,294,493,0.5963488843813387
383.0,41,71,0.5774647887323944
384.0,43,71,0.6056338028169014
385.0,30,42,0.7142857142857143
386.0,272,417,0.6522781774580336
387.0,540,808,0.6683168316831684
388.0,605,1024,0.5908203125
389.0,88,155,0.567741935483871
390.0,4,6,0.6666666666666666
391.0,150,244,0.6147540983606558
392.0,503,884,0.5690045248868778
393.0,240,401,0.5985037406483791
394.0,535,851,0.6286721504112809
395.0,305,504,0.6051587301587301
396.0,5,7,0.7142857142857143
397.0,92,132,0.696969696969697
398.0,336,536,0.6268656716417911
399.0,163,297,0.5488215488215489
400.0,186,311,0.5980707395498392
401.0,150,238,0.6302521008403361
402.0,8,11,0.7272727272727273
403.0,414,648,0.6388888888888888
404.0,277,463,0.5982721382289417
405.0,3,4,0.75
406.0,281,510,0.5509803921568628
407.0,253,406,0.6231527093596059
408.0,27,49,0.5510204081632653
409.0,135,195,0.6923076923076923
410.0,65,113,0.5752212389380531
411.0,581,1034,0.5618955512572534
412.0,509,900,0.5655555555555556
413.0,800,1251,0.6394884092725819
414.0,36,53,0.6792452830188679
415.0,115,189,0.6084656084656085
416.0,713,1355,0.5261992619926199
417.0,119,198,0.601010101010101
418.0,250,443,0.5643340857787811
419.0,480,830,0.5783132530120482
420.0,539,1010,0.5336633663366337
421.0,57,91,0.6263736263736264
422.0,215,372,0.5779569892473119
423.0,143,230,0.6217391304347826
424.0,95,166,0.572289156626506
425.0,630,1057,0.5960264900662252
426.0,3,8,0.375
427.0,347,580,0.5982758620689655
428.0,599,999,0.5995995995995996
429.0,61,92,0.6630434782608695
430.0,335,557,0.6014362657091562
431.0,4,8,0.5
432.0,5,8,0.625
433.0,11,12,0.9166666666666666
434.0,740,1242,0.5958132045088567
435.0,220,381,0.5774278215223098
436.0,837,1576,0.5310913705583756
437.0,69,86,0.8023255813953488
438.0,763,1256,0.607484076433121
439.0,824,1432,0.5754189944134078
440.0,554,953,0.5813221406086044
441.0,221,365,0.6054794520547945
442.0,68,104,0.6538461538461539
443.0,576,932,0.6180257510729614
444.0,237,432,0.5486111111111112
445.0,137,246,0.556910569105691
446.0,363,561,0.6470588235294118
447.0,182,370,0.4918918918918919
448.0,360,587,0.6132879045996593
449.0,333,562,0.5925266903914591
450.0,82,151,0.543046357615894
451.0,167,282,0.5921985815602837
452.0,131,207,0.6328502415458938
453.0,631,1284,0.4914330218068536
454.0,680,1105,0.6153846153846154
455.0,14,24,0.5833333333333334
456.0,737,1224,0.6021241830065359
457.0,129,238,0.542016806722689
458.0,495,812,0.6096059113300493
459.0,406,805,0.5043478260869565
460.0,226,418,0.5406698564593302
461.0,92,145,0.6344827586206897
462.0,458,697,0.6571018651362984
463.0,76,133,0.5714285714285714
464.0,580,955,0.6073298429319371
465.0,548,941,0.5823591923485654
466.0,121,257,0.4708171206225681
467.0,80,133,0.6015037593984962
468.0,258,459,0.5620915032679739
469.0,17,23,0.7391304347826086
470.0,14,21,0.6666666666666666
471.0,817,1474,0.5542740841248304
472.0,582,962,0.604989604989605
473.0,586,1063,0.5512699905926622
474.0,144,254,0.5669291338582677
475.0,537,947,0.5670538542766631
476.0,33,46,0.717391304347826
477.0,16,30,0.5333333333333333
478.0,497,870,0.5712643678160919
479.0,737,1146,0.6431064572425829
480.0,335,536,0.625
481.0,139,230,0.6043478260869565
482.0,190,339,0.56047197640118
483.0,376,709,0.5303244005641748
484.0,373,709,0.5260930888575458
485.0,374,676,0.5532544378698225
486.0,490,1001,0.48951048951048953
487.0,308,507,0.6074950690335306
488.0,301,505,0.596039603960396
489.0,404,680,0.5941176470588235
490.0,407,718,0.5668523676880223
491.0,84,134,0.6268656716417911
492.0,261,470,0.5553191489361702
493.0,410,701,0.5848787446504993
494.0,274,481,0.5696465696465697
495.0,501,907,0.5523704520396913
496.0,391,620,0.6306451612903226
497.0,267,437,0.6109839816933639
498.0,117,196,0.5969387755102041
499.0,325,553,0.5877034358047016
500.0,55,96,0.5729166666666666
501.0,36,58,0.6206896551724138
502.0,13,17,0.7647058823529411
503.0,202,334,0.6047904191616766
504.0,101,154,0.6558441558441559
505.0,176,330,0.5333333333333333
506.0,345,534,0.6460674157303371
507.0,380,642,0.5919003115264797
508.0,399,693,0.5757575757575758
509.0,233,372,0.6263440860215054
510.0,215,339,0.6342182890855457
511.0,172,273,0.63003663003663
512.0,333,619,0.5379644588045234
513.0,11,16,0.6875
514.0,42,82,0.5121951219512195
515.0,446,727,0.6134800550206327
516.0,509,985,0.516751269035533
517.0,421,676,0.6227810650887574
518.0,107,194,0.5515463917525774
519.0,447,760,0.5881578947368421
520.0,157,240,0.6541666666666667
521.0,372,677,0.5494830132939439
522.0,444,839,0.5292014302741359
523.0,109,155,0.7032258064516129
524.0,339,533,0.6360225140712945
525.0,460,759,0.6060606060606061
526.0,34,46,0.7391304347826086
527.0,50,77,0.6493506493506493
528.0,261,443,0.5891647855530474
529.0,174,255,0.6823529411764706
530.0,218,350,0.6228571428571429
531.0,372,652,0.5705521472392638
532.0,84,113,0.7433628318584071
533.0,165,288,0.5729166666666666
534.0,448,703,0.6372688477951636
535.0,491,861,0.570267131242741
536.0,69,104,0.6634615384615384
537.0,73,127,0.5748031496062992
538.0,332,540,0.6148148148148148
539.0,305,489,0.623721881390593
540.0,393,588,0.6683673469387755
541.0,360,615,0.5853658536585366
542.0,342,581,0.5886402753872634
543.0,59,89,0.6629213483146067
544.0,368,650,0.5661538461538461
545.0,337,529,0.6370510396975425
546.0,46,68,0.6764705882352942
547.0,87,136,0.6397058823529411
548.0,123,201,0.6119402985074627
549.0,291,492,0.5914634146341463
550.0,248,441,0.562358276643991
551.0,182,275,0.6618181818181819
552.0,158,255,0.6196078431372549
553.0,189,336,0.5625
554.0,510,964,0.529045643153527
555.0,234,388,0.6030927835051546
556.0,242,386,0.6269430051813472
557.0,513,867,0.5916955017301038
558.0,45,84,0.5357142857142857
559.0,456,710,0.6422535211267606
560.0,209,379,0.5514511873350924
561.0,160,281,0.5693950177935944
562.0,550,1031,0.533462657613967
563.0,316,659,0.4795144157814871
564.0,442,936,0.4722222222222222
565.0,322,547,0.5886654478976234
566.0,492,845,0.5822485207100592
567.0,597,1179,0.5063613231552163
568.0,417,756,0.5515873015873016
569.0,404,697,0.5796269727403156
570.0,413,792,0.5214646464646465
571.0,341,688,0.4956395348837209
572.0,120,204,0.5882352941176471
573.0,457,864,0.5289351851851852
574.0,354,631,0.561014263074485
575.0,116,211,0.5497630331753555
576.0,58,81,0.7160493827160493
577.0,153,261,0.5862068965517241
578.0,241,375,0.6426666666666667
579.0,100,176,0.5681818181818182
580.0,727,1235,0.588663967611336
581.0,149,236,0.6313559322033898
582.0,169,262,0.6450381679389313
583.0,31,53,0.5849056603773585
584.0,143,229,0.6244541484716157
585.0,146,296,0.49324324324324326
586.0,58,95,0.6105263157894737
587.0,17,30,0.5666666666666667
588.0,325,570,0.5701754385964912
589.0,129,242,0.5330578512396694
590.0,66,128,0.515625
591.0,66,118,0.559322033898305
592.0,51,80,0.6375
593.0,281,476,0.5903361344537815
594.0,85,125,0.68
595.0,507,913,0.5553121577217963
596.0,39,73,0.5342465753424658
597.0,145,241,0.6016597510373444
598.0,386,727,0.530949105914718
599.0,334,587,0.5689948892674617
600.0,422,795,0.5308176100628931
601.0,417,661,0.6308623298033282
602.0,586,927,0.6321467098166127
603.0,38,58,0.6551724137931034
604.0,484,908,0.5330396475770925
605.0,499,892,0.5594170403587444
606.0,28,48,0.5833333333333334
607.0,438,760,0.5763157894736842
608.0,546,1052,0.5190114068441065
609.0,425,835,0.5089820359281437
610.0,243,464,0.5237068965517241
611.0,392,790,0.4962025316455696
612.0,527,1070,0.49252336448598133
613.0,124,231,0.5367965367965368
614.0,316,581,0.5438898450946644
615.0,158,265,0.5962264150943396
616.0,314,569,0.5518453427065027
617.0,153,261,0.5862068965517241
618.0,280,465,0.6021505376344086
619.0,303,625,0.4848
620.0,380,670,0.5671641791044776
621.0,367,702,0.5227920227920227
622.0,239,395,0.6050632911392405
623.0,39,72,0.5416666666666666
624.0,366,662,0.552870090634441
625.0,121,221,0.5475113122171946
626.0,130,201,0.6467661691542289
627.0,212,372,0.5698924731182796
628.0,548,1131,0.484526967285588
629.0,216,397,0.5440806045340051
630.0,59,103,0.5728155339805825
631.0,26,47,0.5531914893617021
632.0,400,713,0.5610098176718092
633.0,272,489,0.556237218813906
634.0,391,681,0.5741556534508077
635.0,629,1078,0.5834879406307978
636.0,256,470,0.5446808510638298
637.0,486,877,0.5541619156214367
638.0,39,56,0.6964285714285714
639.0,548,1037,0.5284474445515911
640.0,213,376,0.5664893617021277
641.0,149,257,0.5797665369649806
642.0,41,63,0.6507936507936508
643.0,26,50,0.52
644.0,440,881,0.49943246311010214
645.0,289,513,0.5633528265107213
646.0,104,205,0.5073170731707317
647.0,323,572,0.5646853146853147
648.0,321,660,0.4863636363636364
649.0,28,42,0.6666666666666666
650.0,93,181,0.5138121546961326
651.0,394,637,0.6185243328100472
652.0,24,48,0.5
653.0,281,516,0.5445736434108527
654.0,335,642,0.5218068535825545
655.0,83,130,0.6384615384615384
656.0,36,50,0.72
657.0,40,61,0.6557377049180327
658.0,297,504,0.5892857142857143
659.0,41,55,0.7454545454545455
660.0,395,716,0.5516759776536313
661.0,88,129,0.6821705426356589
662.0,32,48,0.6666666666666666
663.0,182,283,0.6431095406360424
664.0,25,38,0.6578947368421053
665.0,21,34,0.6176470588235294
666.0,26,40,0.65
667.0,456,785,0.5808917197452229
668.0,155,283,0.5477031802120141
669.0,26,40,0.65
670.0,32,52,0.6153846153846154
671.0,59,125,0.472
672.0,206,358,0.5754189944134078
673.0,434,828,0.5241545893719807
674.0,179,336,0.5327380952380952
675.0,11,28,0.39285714285714285
676.0,455,903,0.5038759689922481
677.0,373,632,0.5901898734177216
678.0,7,17,0.4117647058823529
679.0,275,444,0.6193693693693694
680.0,189,303,0.6237623762376238
681.0,318,581,0.5473321858864028
682.0,297,549,0.5409836065573771
683.0,305,527,0.5787476280834914
684.0,563,990,0.5686868686868687
685.0,54,80,0.675
686.0,214,410,0.5219512195121951
687.0,185,316,0.5854430379746836
688.0,471,849,0.5547703180212014
689.0,126,241,0.5228215767634855
690.0,459,766,0.5992167101827677
691.0,32,42,0.7619047619047619
692.0,51,87,0.5862068965517241
693.0,174,346,0.5028901734104047
694.0,12,18,0.6666666666666666
695.0,356,666,0.5345345345345346
696.0,196,363,0.5399449035812672
697.0,141,269,0.5241635687732342
698.0,235,405,0.5802469135802469
699.0,23,42,0.5476190476190477
700.0,357,637,0.5604395604395604
701.0,416,767,0.5423728813559322
702.0,256,490,0.5224489795918368
703.0,208,343,0.6064139941690962
704.0,341,643,0.5303265940902022
705.0,54,94,0.574468085106383
706.0,464,846,0.5484633569739953
707.0,256,529,0.4839319470699433
708.0,11,17,0.6470588235294118
709.0,455,890,0.5112359550561798
710.0,402,693,0.5800865800865801
711.0,123,209,0.5885167464114832
712.0,105,171,0.6140350877192983
713.0,65,104,0.625
714.0,108,188,0.574468085106383
715.0,49,69,0.7101449275362319
716.0,66,92,0.717391304347826
717.0,61,99,0.6161616161616161
718.0,302,467,0.6466809421841542
719.0,256,408,0.6274509803921569
720.0,114,190,0.6
721.0,291,463,0.6285097192224622
722.0,457,708,0.6454802259887006
723.0,302,443,0.6817155756207675
724.0,95,161,0.5900621118012422
725.0,548,953,0.5750262329485835
726.0,627,1071,0.5854341736694678
727.0,78,118,0.6610169491525424
728.0,490,916,0.5349344978165939
729.0,298,524,0.5687022900763359
730.0,91,151,0.6026490066225165
731.0,15,25,0.6
732.0,34,46,0.7391304347826086
733.0,35,58,0.603448275862069
734.0,109,200,0.545
735.0,3,4,0.75
736.0,356,597,0.5963149078726968
737.0,315,543,0.580110497237569
738.0,18,27,0.6666666666666666
739.0,77,134,0.5746268656716418
740.0,315,535,0.5887850467289719
741.0,32,46,0.6956521739130435
742.0,215,402,0.5348258706467661
743.0,52,83,0.6265060240963856
744.0,366,666,0.5495495495495496
745.0,281,497,0.5653923541247485
746.0,237,412,0.5752427184466019
747.0,200,314,0.6369426751592356
748.0,92,158,0.5822784810126582
749.0,267,427,0.6252927400468384
750.0,89,139,0.6402877697841727
751.0,543,950,0.5715789473684211
752.0,238,399,0.5964912280701754
753.0,72,118,0.6101694915254238
754.0,445,797,0.5583437892095358
755.0,128,229,0.5589519650655022
756.0,479,820,0.5841463414634146
757.0,23,34,0.6764705882352942
758.0,252,428,0.5887850467289719
759.0,158,270,0.5851851851851851
760.0,466,881,0.52894438138479
761.0,320,551,0.5807622504537205
762.0,333,590,0.5644067796610169
763.0,42,82,0.5121951219512195
764.0,196,303,0.6468646864686468
765.0,465,736,0.6317934782608695
766.0,434,755,0.5748344370860927
767.0,311,485,0.6412371134020619
768.0,290,565,0.5132743362831859
769.0,20,27,0.7407407407407407
770.0,331,542,0.6107011070110702
771.0,94,120,0.7833333333333333
772.0,61,89,0.6853932584269663
773.0,186,337,0.5519287833827893
774.0,220,410,0.5365853658536586
775.0,320,603,0.5306799336650083
776.0,73,109,0.6697247706422018
777.0,491,813,0.6039360393603936
778.0,54,84,0.6428571428571429
779.0,186,302,0.6158940397350994
780.0,227,422,0.5379146919431279
781.0,138,216,0.6388888888888888
782.0,137,229,0.5982532751091703
783.0,70,109,0.6422018348623854
784.0,157,310,0.5064516129032258
785.0,27,50,0.54
786.0,401,702,0.5712250712250713
787.0,201,334,0.6017964071856288
788.0,182,345,0.527536231884058
789.0,237,451,0.5254988913525499
790.0,306,585,0.5230769230769231
791.0,237,436,0.5435779816513762
792.0,385,665,0.5789473684210527
793.0,201,344,0.5843023255813954
794.0,233,380,0.6131578947368421
795.0,319,576,0.5538194444444444
796.0,130,221,0.5882352941176471
797.0,86,116,0.7413793103448276
798.0,78,113,0.6902654867256637
799.0,31,40,0.775
800.0,58,83,0.6987951807228916
801.0,299,488,0.6127049180327869
802.0,476,889,0.5354330708661418
803.0,198,324,0.6111111111111112
804.0,417,721,0.5783633841886269
805.0,422,766,0.5509138381201044
806.0,164,314,0.5222929936305732
807.0,159,268,0.5932835820895522
808.0,35,65,0.5384615384615384
809.0,577,1010,0.5712871287128712
810.0,174,316,0.5506329113924051
811.0,588,1059,0.5552407932011332
812.0,98,163,0.6012269938650306
813.0,246,483,0.5093167701863354
814.0,73,116,0.6293103448275862
815.0,73,134,0.5447761194029851
816.0,64,108,0.5925925925925926
817.0,62,106,0.5849056603773585
818.0,45,77,0.5844155844155844
819.0,67,99,0.6767676767676768
820.0,222,357,0.6218487394957983
821.0,224,342,0.6549707602339181
822.0,332,512,0.6484375
823.0,389,748,0.5200534759358288
824.0,38,57,0.6666666666666666
825.0,83,143,0.5804195804195804
826.0,49,68,0.7205882352941176
827.0,76,123,0.6178861788617886
