killer_id,free_kill_count,total_kills,free_kill_ratio
0.0,740,1240,0.5967741935483871
1.0,142,253,0.5612648221343873
2.0,32,61,0.5245901639344263
4.0,20,40,0.5
5.0,19,38,0.5
6.0,126,231,0.5454545454545454
7.0,5,10,0.5
8.0,56,105,0.5333333333333333
9.0,69,121,0.5702479338842975
10.0,208,358,0.5810055865921788
11.0,100,192,0.5208333333333334
12.0,1,3,0.3333333333333333
13.0,85,132,0.6439393939393939
14.0,115,204,0.5637254901960784
15.0,41,121,0.33884297520661155
16.0,2,4,0.5
17.0,117,171,0.6842105263157895
18.0,181,280,0.6464285714285715
19.0,23,39,0.5897435897435898
20.0,2,10,0.2
21.0,59,119,0.4957983193277311
22.0,34,58,0.5862068965517241
23.0,170,334,0.5089820359281437
24.0,528,977,0.5404298874104401
25.0,505,929,0.5435952637244349
26.0,604,1035,0.5835748792270531
27.0,27,55,0.4909090909090909
28.0,1165,2091,0.5571496891439502
29.0,28,52,0.5384615384615384
30.0,13,41,0.3170731707317073
31.0,951,1727,0.5506658946149392
32.0,161,283,0.568904593639576
33.0,943,1637,0.5760537568723274
34.0,231,470,0.49148936170212765
35.0,379,675,0.5614814814814815
36.0,553,1000,0.553
37.0,200,361,0.554016620498615
38.0,698,1198,0.5826377295492488
39.0,123,253,0.48616600790513836
40.0,115,179,0.6424581005586593
41.0,459,746,0.6152815013404825
42.0,649,997,0.6509528585757272
43.0,86,133,0.6466165413533834
44.0,12,14,0.8571428571428571
45.0,262,443,0.5914221218961625
46.0,79,118,0.6694915254237288
47.0,1108,1736,0.6382488479262672
48.0,107,175,0.6114285714285714
49.0,2,4,0.5
50.0,619,1024,0.6044921875
51.0,272,514,0.5291828793774319
52.0,13,26,0.5
53.0,1196,1935,0.6180878552971576
54.0,27,44,0.6136363636363636
55.0,238,421,0.5653206650831354
56.0,280,455,0.6153846153846154
57.0,76,145,0.5241379310344828
58.0,137,236,0.5805084745762712
59.0,65,124,0.5241935483870968
60.0,8,13,0.6153846153846154
61.0,136,267,0.5093632958801498
62.0,2,7,0.2857142857142857
63.0,53,105,0.5047619047619047
64.0,287,517,0.5551257253384912
65.0,387,620,0.6241935483870967
66.0,268,447,0.5995525727069351
67.0,276,480,0.575
68.0,170,289,0.5882352941176471
69.0,152,272,0.5588235294117647
70.0,553,970,0.5701030927835051
71.0,722,1249,0.578062449959968
72.0,315,565,0.5575221238938053
73.0,105,190,0.5526315789473685
74.0,103,191,0.5392670157068062
75.0,40,101,0.39603960396039606
76.0,150,255,0.5882352941176471
77.0,2,5,0.4
78.0,44,83,0.5301204819277109
79.0,594,985,0.6030456852791878
80.0,86,184,0.4673913043478261
81.0,13,17,0.7647058823529411
82.0,556,1020,0.5450980392156862
83.0,356,597,0.5963149078726968
84.0,225,437,0.5148741418764302
85.0,815,1487,0.5480833893745797
86.0,681,1167,0.583547557840617
87.0,113,203,0.5566502463054187
88.0,55,131,0.4198473282442748
89.0,364,667,0.545727136431784
90.0,370,646,0.5727554179566563
91.0,162,267,0.6067415730337079
92.0,55,108,0.5092592592592593
93.0,80,158,0.5063291139240507
94.0,753,1204,0.6254152823920266
95.0,48,77,0.6233766233766234
96.0,160,295,0.5423728813559322
97.0,396,677,0.5849335302806499
98.0,246,460,0.5347826086956522
99.0,127,238,0.5336134453781513
100.0,4,6,0.6666666666666666
101.0,478,834,0.5731414868105515
102.0,34,61,0.5573770491803278
103.0,595,1008,0.5902777777777778
